feature,fraction,speech_acc,speech_f1,cat_acc,cat_f1
AST,0.05,0.8298611111111112,0.829966090644513,0.7083333333333334,0.6852199160901336
AST,0.1,0.8263888888888888,0.8257540669234394,0.6979166666666666,0.6899363949624198
AST,0.15,0.8645833333333334,0.8640200813989893,0.6875,0.673549802070455
AST,0.2,0.8333333333333334,0.8321575543797767,0.6875,0.6797894620811288
AST,0.3,0.8368055555555556,0.8364303959131545,0.6805555555555556,0.6683793992482837
AST,0.4,0.8472222222222222,0.8471407012154041,0.7118055555555556,0.7033162094038717
AST,0.5,0.8680555555555556,0.8681576797385621,0.7256944444444444,0.7233971507027566
AST,0.6,0.8715277777777778,0.8716442614957466,0.71875,0.7158372203242853
AST,0.7,0.8506944444444444,0.8508729123820946,0.71875,0.7170949998655155
AST,0.8,0.8576388888888888,0.8577267289066334,0.7291666666666666,0.7274958639383043
AST,0.9,0.8680555555555556,0.8681576797385621,0.7291666666666666,0.7295623328682712
MFCC,0.05,0.6423611111111112,0.6424433936497557,0.5,0.5051051468319323
MFCC,0.1,0.6388888888888888,0.6382041349951108,0.5069444444444444,0.5110820142023916
MFCC,0.15,0.6458333333333334,0.6433348030570253,0.4895833333333333,0.4958338770054706
MFCC,0.2,0.6701388888888888,0.6696380004076283,0.5104166666666666,0.5123049505894693
MFCC,0.3,0.6909722222222222,0.6907134960599135,0.5486111111111112,0.5424360848702955
MFCC,0.4,0.7361111111111112,0.73539164773342,0.5486111111111112,0.5417886416861827
MFCC,0.5,0.7118055555555556,0.7115642716064363,0.5729166666666666,0.5579298418972332
MFCC,0.6,0.71875,0.7181034482758621,0.5694444444444444,0.5630794174898579
MFCC,0.7,0.7083333333333334,0.7086711711711712,0.5729166666666666,0.5585260674472292
MFCC,0.8,0.6770833333333334,0.677469135802469,0.5763888888888888,0.5528763064697098
MFCC,0.9,0.7013888888888888,0.7015190026627935,0.5972222222222222,0.5775692337563176
